Scheduler,Wall Clock Time (sec),Total User Mode CPU Seconds,Total Kernel Mode CPU Seconds,CPU Percentage,Total Non-Voluntary Context Switches,Total Voluntary Context Switches,# Processes,Uinform priority,test
SCHED_OTHER,0.73,0.66,0.02,94%,221,15,10,,
SCHED_OTHER,0.8,0.74,0.02,94%,227,17,10,,
SCHED_OTHER,0.92,0.89,0.05,102%,282,19,10,,
OTHER,0.816666667,0.763333333,0.03,97%,243.3333333,17,10,Y,CPU
OTHER,0.69,0.66,0,95%,197,16,10,,CPU
OTHER,1.01,0.7,0,69%,154,20,10,,CPU
OTHER,0.72,0.68,0,94%,196,16,10,,CPU
OTHER,0.806666667,0.68,0,86%,182.3333333,17.33333333,10,N,CPU
OTHER,3.13,3.6,0.03,116%,1098,61,50,,CPU
OTHER,4.16,3.55,0.02,85%,1021,64,50,,CPU
OTHER,2.74,3.21,0.02,117%,1196,57,50,,CPU
OTHER,3.343333333,3.453333333,0.023333333,106%,1105,60.66666667,50,Y,CPU
OTHER,3.98,3.43,0.04,87%,1340,64,50,,CPU
OTHER,3.33,3.5,0.07,107%,1450,58,50,,CPU
OTHER,2.02,3.37,0.09,171%,1818,57,50,,CPU
OTHER,3.11,3.433333333,0.066666667,122%,1536,59.66666667,50,N,CPU
OTHER,3.65,6.57,0.06,181%,2597,106,100,,CPU
OTHER,3.5,6.4,0.05,184%,2433,140,100,,CPU
OTHER,3.5,6.45,0.02,184%,1991,110,100,,CPU
OTHER,3.55,6.473333333,0.043333333,183%,2340.333333,118.6666667,100,Y,CPU
OTHER,2.53,4.52,0.06,180%,1675,107,100,,CPU
OTHER,2.6,4.63,0.07,181%,1831,111,100,,CPU
OTHER,2.84,5.07,0.06,180%,1817,108,100,,CPU
OTHER,2.656666667,4.74,0.063333333,180%,1774.333333,108.6666667,100,N,CPU
OTHER,0.23,0.41,0,177%,31,16,10,,CPU
OTHER,0.24,0.43,0,179%,15,16,10,,CPU
OTHER,0.26,0.47,0,178%,5,19,10,,CPU
FIFO,0.011111111,0.436666667,0,178%,17,17,10,Y,CPU
FIFO,0.25,0.46,0,183%,14,16,10,,CPU
FIFO,0.24,0.44,0,181%,12,17,10,,CPU
FIFO,0.24,0.44,0,177%,18,16,10,,CPU
FIFO,0.243333333,0.446666667,0,180%,14.66666667,16.33333333,10,N,CPU
FIFO,1.12,2.1,0,188%,8,56,50,,CPU
FIFO,1.27,2.22,0,175%,7,56,50,,CPU
FIFO,1.13,2.07,0,183%,7,61,50,,CPU
FIFO,1.173333333,2.13,0,182%,7.333333333,57.66666667,50,Y,CPU
FIFO,1.14,2.06,0,180%,60,60,50,,CPU
FIFO,1.14,2.06,0,180%,61,57,50,,CPU
FIFO,1.14,2.06,0,181%,69,58,50,,CPU
FIFO,1.14,2.06,0,180%,63.33333333,58.33333333,50,N,CPU
FIFO,2.33,4.2,0.02,181%,6,111,100,,CPU
FIFO,2.34,4.16,0.01,178%,7,106,100,,CPU
FIFO,2.66,4.18,0,157%,6,111,100,,CPU
FIFO,2.443333333,4.18,0.01,172%,6.333333333,109.3333333,100,Y,CPU
FIFO,2.81,4.15,0.02,148%,128,110,100,,CPU
FIFO,2.55,4.62,0.04,182%,132,109,100,,CPU
FIFO,2.29,4.14,0.02,181%,128,107,100,,CPU
FIFO,2.55,4.303333333,0.026666667,170%,129.3333333,108.6666667,100,N,CPU
SCHED_RR,0.24,0.44,0,185%,7,16,10,,CPU
SCHED_RR,0.3,0.5,0,168%,7,16,10,,CPU
SCHED_RR,0.24,0.43,0,179%,7,16,10,,CPU
RR,0.26,0.456666667,,177%,7,16,10,Y,CPU
RR,0.26,0.48,0,183%,14,18,10,,CPU
RR,0.6,0.4,0,68%,12,20,10,,CPU
RR,0.21,0.4,0,187%,15,18,10,,CPU
RR,0.356666667,0.426666667,0,146%,13.66666667,18.66666667,10,N,CPU
RR,1.36,2,0,147%,13,62,50,,CPU
RR,1.06,2,0,189%,2,57,50,,CPU
RR,1.18,2.05,0,173%,6,56,50,,CPU
RR,1.2,2.016666667,,170%,7,58.33333333,50,Y,CPU
RR,1.14,2.06,0,181%,67,58,50,,CPU
RR,1.16,2.14,0,183%,68,56,50,,CPU
RR,1.45,2.07,0,143%,71,63,50,,CPU
RR,1.25,2.09,,169%,68.66666667,59,50,N,CPU
RR,2.23,4.04,0.01,181%,8,109,100,,CPU
RR,2.27,4.13,0,182%,7,112,100,,CPU
RR,2.23,4.03,0,180%,6,111,100,,CPU
RR,2.243333333,4.066666667,0.003333333,181%,7,110.6666667,100,Y,CPU
RR,2.26,4.08,0.01,181%,135,113,100,,CPU
RR,2.4,4.28,0.02,179%,134,111,100,,CPU
RR,2.27,4.12,0,181%,121,108,100,,CPU
RR,2.31,4.16,0.01,180%,130,110.6666667,100,N,CPU
SCHED_OTHER,0.29,0,0.13,46%,428,2421,10,,
SCHED_OTHER,0.34,0.01,0.16,52%,677,2483,10,,
SCHED_OTHER,0.31,0,0.13,45%,328,2491,10,,
OTHER,0.313333333,0.003333333,0.14,48%,477.6666667,2465,10,Y,IO
OTHER,0.69,0,0.22,32%,2343,2485,10,,IO
OTHER,0.22,0,0.09,41%,741,2451,10,,IO
OTHER,0.29,0,0.14,52%,1018,2409,10,,IO
OTHER,0.4,0,0.15,42%,1367.333333,2448.333333,10,N,IO
OTHER,0.99,0.02,0.59,62%,4907,10604,50,,IO
OTHER,0.95,0.02,0.52,56%,4409,10143,50,,IO
OTHER,1.14,0.02,0.64,57%,6043,9984,50,,IO
OTHER,1.026666667,0.02,0.583333333,58%,5119.666667,10243.66667,50,Y,IO
OTHER,0.87,0.02,0.48,57%,4075,10372,50,,IO
OTHER,0.76,0.03,0.39,55%,3558,10129,50,,IO
OTHER,0.87,0.02,0.44,52%,3040,10292,50,,IO
OTHER,0.833333333,0.023333333,0.436666667,55%,3557.666667,10264.33333,50,N,IO
OTHER,1.87,0.04,0.97,53%,5285,20228,100,,IO
OTHER,1.88,0.03,1.05,57%,8397,19465,100,,IO
OTHER,2.11,0.04,1.22,59%,11186,21225,100,,IO
OTHER,1.953333333,0.036666667,1.08,56%,8289.333333,20306,100,Y,IO
OTHER,2.8,0.03,1.36,49%,10694,21286,100,,IO
OTHER,2.81,0,1.25,44%,17232,22254,100,,IO
OTHER,2.34,0.02,1.22,53%,24742,23164,100,,IO
OTHER,2.65,0.016666667,1.276666667,49%,17556,22234.66667,100,N,IO
SCHED_FIFO,0.26,0,0.2,79%,218,2824,10,,IO
SCHED_FIFO,0.25,0,0.21,82%,5,2892,10,,IO
SCHED_FIFO,0.55,0,0.17,32%,4,2793,10,,IO
FIFO,0.353333333,0,0.193333333,64%,75.66666667,2836.333333,10,Y,IO
FIFO,0.68,0,0.26,38%,916,2995,10,,IO
FIFO,0.57,0,0.24,43%,922,2939,10,,IO
FIFO,0.26,0,0.25,95%,967,2861,10,,IO
FIFO,0.503333333,0,0.25,59%,935,2931.666667,10,N,IO
FIFO,0.96,0.03,1.02,110%,3,16871,50,,IO
FIFO,1.12,0.01,0.96,87%,13,17075,50,,IO
FIFO,0.99,0.01,1.01,103%,1,17585,50,,IO
FIFO,1.023333333,0.016666667,0.996666667,100%,5.666666667,17177,50,Y,IO
FIFO,1.22,0.02,1.36,113%,5242,16815,50,,IO
FIFO,1.14,0.02,1.36,120%,5249,16752,50,,IO
FIFO,1.05,0.01,1.23,118%,4961,16546,50,,IO
FIFO,1.136666667,0.016666667,1.316666667,117%,5150.666667,16704.33333,50,N,IO
FIFO,1.8,0.04,2.05,116%,2,34947,100,,IO
FIFO,1.91,0.03,2.02,107%,2,37370,100,,IO
FIFO,1.8,0.03,1.99,112%,3,39168,100,,IO
FIFO,1.836666667,0.033333333,2.02,112%,2.333333333,37161.66667,100,Y,IO
FIFO,3.38,0.04,2.78,83%,10008,34355,100,,IO
FIFO,2.61,0,2.63,101%,9409,32934,100,,IO
FIFO,2.11,0.03,2.54,122%,9437,33769,100,,IO
FIFO,2.7,0.023333333,2.65,102%,9618,33686,100,N,IO
SCHED_RR,0.29,0,0.19,70%,1,2990,10,,IO
SCHED_RR,0.25,0,0.2,78%,4,2977,10,,IO
SCHED_RR,0.25,0.01,0.18,79%,6,2874,10,,IO
RR,0.263333333,0.003333333,0.19,76%,3.666666667,2947,10,Y,IO
RR,0.58,0,0.26,45%,867,3209,10,,IO
RR,0.26,0,0.26,103%,725,2736,10,,IO
RR,0.31,0,0.3,98%,883,2632,10,,IO
RR,0.383333333,0,0.273333333,82%,825,2859,10,N,IO
RR,0.95,0,0.99,104%,5,17029,50,,IO
RR,1.21,0.01,0.99,82%,3,17353,50,,IO
RR,0.98,0,1.05,107%,5,17895,50,,IO
RR,1.046666667,0.003333333,1.01,98%,4.333333333,17425.66667,50,Y,IO
RR,0.98,0.02,1.2,124%,4877,16065,50,,IO
RR,1.13,0.02,1.29,116%,5218,18086,50,,IO
RR,1.15,0,1.3,114%,5094,16641,50,,IO
